nbhd_name,avg_price_growth
ACADEMY,0.55880500208773549733
ARAPAHOE SQUARE,0.80909393153329399667
ATHMAR PARK,0.28845379807853934289
AURARIA,0.25346033202036964764
AVONDALE,0.79007330237733306544
BAKER,0.34797418866911331494
BALLPARK,0.57614380212420980992
BARNUM,0.17040915100029815905
BARNUM WEST,0.11199634438182461553
BEAR VALLEY,0.52381790236777569069
BELCARO,-0.33208758679287487403
BERKELEY,0.06507526011088307524
BONNIE BRAE,0.76986689005697759572
BREAKERS,0.24211725748153523385
CAPITOL HILL,-0.10334084520937573706
CBD,0.24035773832451564060
CHAFFEE PARK,0.19260966818338846286
CHEESMAN PARK,0.07532827789142472683
CHERMONT,0.06500653263081360329
CHERRY CREEK,0.07752997713595896578
CHERRY POINT,-0.99869021620889261236
CITY PARK,0.27874228725287750548
CITY PARK WEST,0.21543164577561746128
CIVIC CENTER,0.60452527824278490632
CLAYTON,0.42642389534331238132
COLE,0.01588203118000392878
COLLEGE VIEW,0.65385634439068142429
COLLEGE VIEW - SOUTH PLATTE,0.82489463335524572809
COMMONS,0.20348489460033735849
CONGRESS PARK,0.50759576961003692295
CORY - MERRILL,0.15997192634779405462
COUNTRY CLUB,0.85801174301056302739
CREEKVW/SUNSET,0.03577659408421855774
CRESTMOOR,-0.23202939952971908431
CRESTMOOR E,1.02559862233547289233
CURTIS PARK,0.05769077276135485544
DARTMOUTH HTS,-0.11458330485563059365
DENVER TECH,1.65635697766951179877
EAST COLFAX,0.62877061089994657561
E HARVEY PARK,0.31572243644635106257
ELYRIA SWANSEA,0.71558405594203316491
FIVE POINTS,0.08260097441184804734
FORT LOGAN,0.54885198343084146287
GATEWAY - GREEN VALLEY RANCH,0.63681094088699386608
GLENBROOK,0.11315619841289520560
GLOBEVILLE,0.57833577469966465652
GODSMAN,0.66832513159093680209
GOLDSMITH,0.48881872255735813363
GOLDSMITH  W,0.25060707074923749510
HALE,0.16472618347019490781
HAMPDEN,0.07925697772498997459
HAMPDEN HTS E,0.73143687375710332617
HAMPDEN SOUTH,0.12450995642085686212
HARVEY PARK,-0.01254521466818689979
HIGHLAND,0.18777114903842667856
HILLTOP,0.63653765175251906371
HILLTOP 6TH AV,0.10124093716048746310
HOLLY HILLS,0.17497939469512852117
HOLLY RIDGE,0.06194490800246540474
HUTCHINSON HLS,0.64782964749626860993
INDIAN CREEK,0.19674007204108199720
INSPIRATION PT,-0.24415599238472714219
JEFFERSON PARK,0.20293165559074573975
KENNEDY,0.84159867117131242177
LINCOLN PARK,-0.01506712461582786619
LOWRY FIELD,0.67419703263274520675
LYNWOOD,0.02271844300941392292
MAR LEE,0.96898005160016756382
MARSTON,0.09834633289726580463
MONTBELLO,0.01102994362389372093
MONTCLAIR,0.36045037867201679089
N CONGRESS PK,0.13899653809790947081
N COUNTRY CLUB,0.09456737815112576852
NORTH CAPITAL HILL,0.75928165929358389685
NORTH CAPITOL HILL,0.02703048540887577609
NORTHEAST PARK HILL,0.08056003927581880441
NORTHFIELD,0.44730469378039390830
NORTH PARK HILL,0.26694589048284791319
NORTH UNIVERSITY,-0.22405945495063528266
N POLO CLUB,-0.00848952515050226178
OVERLAND,0.09130148837101290309
PARK FOREST,1.23421847003911379764
PARKWAY,0.49036815923865026703
PARKWEST,0.60314832118243536754
PINECREST,0.17470464180151893592
PINEHURST,-0.03010720715336849003
PINEHURST ES S,0.68099435109679118621
PINEHURST ESTA,0.18554465319617577077
PLATT PARK,0.27482302312205067031
POLO CLUB,-0.72726513176497141536
POLO FIELD,0.16695779385962895249
RANGE VIEW,-0.99998745680595925882
REGIS,0.53232915452682324839
RIVER NORTH,0.25889591711241210369
ROSEDALE,0.00854023044074448323
RUBY HILL,1.16116400803401579675
S CHERRY CREEK,0.17303460569816088628
S COUNTRY CLUB,1.42749930005084635468
SEVEN SPRINGS,-0.21220985476120413566
SKYLAND,0.27742896032721507115
SLOAN LAKE,0.25762683373087387789
SLOANS LAKE,-0.00199329767264188417
SOUTHMOOR #1,0.19983294181307472887
SOUTHMOOR PARK,0.08938239833559825145
SOUTH PARK HILL,0.21187554589714465791
SPEER,0.32714176411936002804
STAPLETON,0.04737443277935705260
SUNNYSIDE,0.12401540781392279386
SUN VALLEY,0.35145090448578026301
UNION STATION,0.09496139898454108501
UNIVERSITY,0.07337171052237876023
UNIVERSITY HILLS,0.45806775490341207504
UNIVERSITY PARK,0.17867502848556094183
UNIVERSITY S,0.85565498944517951487
VALVERDE,0.57836515434329819585
VILLA PARK,0.59234874352933083744
VILLAS CHRY HL,-0.12807762675459986142
VIRGINIA VALE,1.12646945086782733866
VIRGINIA VILLAGE,0.39809899585209913950
WASHINGTON,1.60323861551077547473
WASHINGTON PARK,0.06756834080219583233
WASHINGTON PARK WEST,0.02087703942119702383
WASHINGTON VIRGINIA VALE,-0.99999700392186627704
WEST BAKER,0.70656292595737010614
WEST COLFAX,0.34163920427479865095
WEST HIGHLAND,-0.00348611731285298305
WESTWOOD,0.08173237165563167752
WHITTIER,0.20817890888358484052
WINDSOR,0.02719975490879015329
WLSHR/S HILLS,0.22883725903493446945
WOODSTREAM,0.38463168125294390064
ZUNI PARK,0.52382558536951035703
